,name,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
2021-22,Julian Reese,4.7,13,4.5,23,0.2,big-ten,0.7,14.7,73,0.6,0.48,147,0.456,67,0.347,51,0.804,41,32,1,,565,-0.5,14.2,69,0.8,84,15.8,julian-reese-1,182,200.0,Forward,1.5,14,maryland,0.156,23,0.304,7,14.4,142,0.531,18.6,39,124,0.484,60,19.3,,1.4,0.1
2021-22,Ian Martinez,16.5,31,2.2,7,1.3,big-ten,3.9,13.3,41,0.5,0.378,82,0.329,27,0.293,24,0.708,17,28,1,,351,-2.7,1.7,5,-0.1,35,9.9,ian-martinez-2,79,87.0,Guard,3.7,22,maryland,0.366,30,0.267,8,7.5,46,0.423,19.8,23,52,0.365,19,17.2,,0.3,0.038
2021-22,Xavier Green,7.8,28,0.5,3,1.0,big-ten,1.9,10.4,58,0.4,0.458,72,0.375,27,0.208,15,0.6,9,32,4,,633,-0.9,4.0,22,0.3,46,6.9,xavier-green-1,75,90.0,Guard,1.5,16,maryland,0.458,33,0.364,12,7.3,80,0.474,16.8,16,39,0.385,15,7.8,,0.7,0.046
2021-22,Marcus Dockery,12.2,2,0.0,0,-3.2,big-ten,-2.6,3.2,1,0.0,0.5,12,0.417,5,0.25,3,0.667,2,8,0,,35,-0.6,6.6,2,0.1,4,11.9,marcus-dockery-1,14,14.0,Guard,0.0,0,maryland,0.583,7,0.286,2,4.9,3,0.521,13.0,2,5,0.6,3,22.9,,0.1,0.065
2021-22,Simon Wright,5.6,2,0.0,0,-3.5,big-ten,1.2,9.1,5,0.0,0.833,3,0.667,2,1.333,4,1.0,4,20,1,,62,-4.7,7.5,4,0.0,16,4.5,simon-wright-1,9,11.0,Forward,1.0,1,maryland,0.333,1,1.0,1,8.3,9,0.918,50.5,5,2,0.5,1,8.3,,0.1,0.052
2021-22,Pavlo Dziuba,0.0,0,0.0,0,-2.4,big-ten,1.8,6.9,2,0.0,0.5,3,0.333,1,0.0,0,,0,8,0,,33,-4.1,3.5,1,0.0,4,4.5,pavlo-dziuba-1,3,3.0,Forward,3.6,2,maryland,0.667,2,0.5,1,5.2,3,0.5,25.0,1,1,0.0,0,6.3,,0.0,0.034
2021-22,James Graham III,0.0,0,0.0,0,-9.8,big-ten,-6.0,0.0,0,0.0,0.0,1,0.0,0,2.0,2,1.0,2,1,0,,5,-3.8,23.2,1,0.0,0,10.2,james-grahamiii-1,2,2.0,Forward,0.0,0,maryland,1.0,1,0.0,0,11.5,1,0.513,33.9,1,0,,0,30.6,,0.0,-0.006
2021-22,Aidan McCool,32.7,1,0.0,0,11.5,big-ten,2.5,22.7,1,0.0,,0,,0,,2,1.0,2,3,0,,5,9.0,0.0,0,0.0,0,34.4,aidan-mccool-1,2,2.0,Guard,0.0,0,maryland,,0,,0,11.5,1,1.053,0.0,0,0,,0,9.9,,0.0,0.373
2021-22,Brett Karkus,0.0,0,0.0,0,-21.4,big-ten,-8.3,0.0,0,0.0,0.0,1,0.0,0,0.0,0,,0,2,0,,3,-13.2,0.0,0,0.0,0,-15.5,brett-karkus-1,0,0.0,Guard,0.0,0,maryland,1.0,1,0.0,0,0.0,0,0.0,0.0,0,0,,0,17.3,,0.0,-0.252
2021-22,Arnaud Revaz,0.0,0,0.0,0,-5.1,big-ten,-3.0,0.0,0,0.0,,0,,0,,0,,0,2,0,,3,-2.1,0.0,0,0.0,0,0.0,arnaud-revaz-1,0,0.0,Forward,0.0,0,maryland,,0,,0,0.0,0,,,0,0,,0,0.0,,0.0,-0.006
2021-22,Gabe Brown,7.7,41,1.0,10,5.3,big-ten,1.3,11.0,105,0.9,0.537,334,0.428,143,0.198,66,0.894,59,36,36,,1039,4.1,3.7,32,2.4,57,16.2,gabe-brown-2,418,367.0,Forward,1.4,25,michigan-state,0.572,191,0.382,73,7.6,137,0.572,9.0,36,143,0.49,70,19.8,,3.3,0.128
2021-22,Marcus Bingham,3.0,9,12.7,77,10.3,big-ten,5.7,26.5,160,1.6,0.57,236,0.534,126,0.318,75,0.747,56,35,32,,655,4.7,11.0,59,1.7,70,28.7,marcus-bingham-1,325,285.0,Forward,2.9,32,michigan-state,0.174,41,0.415,17,19.2,219,0.598,13.4,42,195,0.559,109,24.5,,3.3,0.201
2021-22,Max Christie,8.6,51,1.7,17,1.9,big-ten,1.1,9.2,91,0.8,0.449,293,0.382,112,0.253,74,0.824,61,35,35,,1078,0.8,3.4,30,0.9,39,10.5,max-christie-1,324,309.0,Guard,1.0,18,michigan-state,0.42,123,0.317,39,6.4,121,0.494,13.7,52,170,0.429,73,18.1,,1.7,0.063
2021-22,Malik Hall,10.0,39,1.0,7,4.4,big-ten,1.6,15.5,112,0.9,0.577,235,0.515,121,0.302,71,0.69,49,36,7,,784,2.8,8.4,54,1.7,71,17.9,malik-hall-1,320,299.0,Forward,1.6,21,michigan-state,0.289,68,0.426,29,12.2,166,0.595,16.0,51,167,0.551,92,20.9,,2.6,0.131
2021-22,Tyson Walker,36.0,153,0.7,5,4.1,big-ten,1.4,5.6,42,0.7,0.498,246,0.427,105,0.256,63,0.81,51,36,28,,812,2.6,0.7,5,1.6,59,16.2,tyson-walker-1,296,333.0,Guard,2.5,34,michigan-state,0.301,74,0.473,35,3.3,47,0.536,19.3,66,172,0.407,70,21.6,,2.3,0.115
2021-22,Joey Hauser,13.7,58,0.8,6,5.0,big-ten,2.0,19.0,136,0.9,0.554,184,0.446,82,0.315,58,0.862,50,35,29,,776,3.0,8.0,51,1.8,87,15.9,joey-hauser-1,254,263.0,Forward,0.8,11,michigan-state,0.533,98,0.408,40,13.8,187,0.6,16.9,43,86,0.488,42,16.8,,2.6,0.137
2021-22,A.J. Hoggard,46.1,174,2.5,17,3.6,big-ten,1.5,10.2,68,0.8,0.455,221,0.439,97,0.367,81,0.63,51,36,8,,728,2.1,2.3,14,1.1,60,17.0,aj-hoggard-1,252,320.0,Guard,2.0,25,michigan-state,0.145,32,0.219,7,6.5,82,0.486,21.5,71,189,0.476,90,23.3,,1.9,0.107
2021-22,Julius Marble,3.6,9,4.0,19,2.2,big-ten,2.6,18.9,90,0.7,0.592,152,0.592,90,0.421,64,0.766,49,36,4,,517,-0.4,7.1,30,1.0,85,18.2,julius-marble-2,229,196.0,Forward,1.4,12,michigan-state,0.007,1,0.0,0,13.3,120,0.628,18.4,41,151,0.596,90,22.1,,1.7,0.131
